cell,horizon,n,n_dates,p10,p25,p50,p60,p75,p90,iqr
位階延伸>8｜族群內領先>5,20,63616,602,-14.625028294823348,-8.000000000000007,-0.8771929824561372,2.1207177814029436,8.447592092359042,21.47016443464993,16.44759209235905
位階貼低≤-8｜族群內均勢-5~5,20,29213,565,-10.745427398282937,-4.081632653061215,2.05761316872428,4.279169004791353,8.287292817679557,15.184785070183056,12.368925470740772
位階中段-8~8｜族群內均勢-5~5,20,225654,602,-9.110896748838869,-4.090909090909091,0.27063599458726467,1.8367346938775482,5.0,11.695487724881032,9.09090909090909
位階延伸>8｜族群內均勢-5~5,20,27412,602,-11.960358056265987,-6.565656565656565,-0.5090143581992888,1.9047619047619049,6.771742414816658,16.94158270123402,13.337398980473223
位階貼低≤-8｜族群內落後≤-5,20,47308,602,-11.647756072835028,-5.219350065383467,1.3157894736842155,3.69928400954655,8.10384499011369,16.292673295760498,13.323195055497155
位階中段-8~8｜族群內落後≤-5,20,95659,602,-9.734513274336276,-4.779763243729615,-0.23668639053254772,1.49000456300023,5.0806474924122,12.9985902659294,9.860410736141816
位階中段-8~8｜族群內領先>5,20,41634,602,-11.32840660401648,-5.434782608695652,0.0,1.8018018018018018,5.7034220532319395,13.59504768674842,11.138204661927592
位階貼低≤-8｜族群內領先>5,20,2024,293,-11.268019785092958,-4.257840072602597,2.034900916888491,4.5698051948051805,9.449863529489146,18.527211179585105,13.707703602091744
位階延伸>8｜族群內落後≤-5,20,6504,538,-13.878022728466615,-8.318093337477304,-1.430618092509213,1.0297203061085862,6.0620885963351725,17.01724792863133,14.380181933812477
_pooled,20,539024,602,-10.663507109004739,-4.977500700756822,0.16949152542373122,2.055498458376156,5.906108612747582,14.124698575716051,10.883609313504405
位階中段-8~8｜族群內落後≤-5,60,95659,602,-14.942528735632186,-7.692307692307697,0.36496350364963154,3.8461538461538436,11.11111111111111,27.670727083917104,18.803418803418808
位階延伸>8｜族群內落後≤-5,60,6504,538,-20.195900621118017,-10.787172011661799,-0.31324355483602373,4.329746554024003,15.25442202291978,36.575573549257754,26.04159403458158
位階貼低≤-8｜族群內落後≤-5,60,47308,602,-21.34950773558369,-11.439718434609908,-0.5524861878453038,3.377446316678629,10.769230769230765,24.369777436929827,22.208949203840675
位階延伸>8｜族群內均勢-5~5,60,27412,602,-16.524746364813197,-8.611618004866177,1.0016722408026775,5.924251273891762,15.65127062507527,35.263012904161236,24.262888629941447
位階中段-8~8｜族群內領先>5,60,41634,602,-18.356570659817766,-9.44168492451754,-0.6172839506172818,2.8268551236749118,9.796251773691678,25.78518971848231,19.237936698209218
位階貼低≤-8｜族群內領先>5,60,2024,293,-27.09838114804822,-16.842744053185086,-3.1258436499672153,2.140030813626459,11.001045868818155,27.561129090255317,27.84378992200324
位階延伸>8｜族群內領先>5,60,63616,602,-20.414948979873408,-11.36791268108077,-0.19704605636099753,5.2252252252252225,16.33107842684167,39.43567190491535,27.69899110792244
位階中段-8~8｜族群內均勢-5~5,60,225654,602,-14.48492312421258,-6.818181818181822,0.9104704097116757,3.968253968253968,10.301703627398181,24.528301886792452,17.119885445580003
位階貼低≤-8｜族群內均勢-5~5,60,29213,565,-21.338977072310403,-11.164274322169058,-0.25575447570332843,3.753060747839588,10.469314079422382,22.182276538609095,21.63358840159144
_pooled,60,539024,602,-16.887417218543046,-8.40227529920099,0.42395348419217727,3.962264150943399,11.282843894899532,27.40899357601712,19.685119194100523
位階貼低≤-8｜族群內落後≤-5,120,47308,602,-27.817170111287762,-13.333333333333334,1.1216353734497782,6.9252986592643495,17.945934914097005,44.44444444444444,31.279268247430338
位階延伸>8｜族群內領先>5,120,63616,602,-25.675675675675674,-14.300050709939143,0.6420562288729479,8.16326530612245,24.425437333525306,60.0,38.72548804346445
位階中段-8~8｜族群內領先>5,120,41634,602,-23.462316814453448,-11.879168754793458,1.0764275120504276,6.822944591994086,18.344145644183335,44.08265003769572,30.223314398976793
位階貼低≤-8｜族群內領先>5,120,2024,293,-29.075960954409737,-15.493632858959113,1.9114165068257347,9.262622223837736,21.218230694037146,47.30470947694598,36.71186355299626
位階貼低≤-8｜族群內均勢-5~5,120,29213,565,-26.666666666666668,-12.980769230769226,2.3474178403755865,8.28446940572103,19.38202247191011,41.370172415471615,32.36279170267933
位階延伸>8｜族群內均勢-5~5,120,27412,602,-21.207870890241036,-10.878661087866112,2.7250225022502264,9.301202112122231,23.562732444375328,54.84546771441045,34.44139353224144
位階延伸>8｜族群內落後≤-5,120,6504,538,-26.834822097054722,-14.789193274832252,-0.26631205673759056,6.098667760329151,20.479380660481556,54.913135110503525,35.26857393531381
位階中段-8~8｜族群內均勢-5~5,120,225654,602,-18.95513212625398,-8.361632061364958,3.0495891828944797,8.198484047241294,19.0974954821033,45.18458213980605,27.45912754346826
位階中段-8~8｜族群內落後≤-5,120,95659,602,-19.71369874989072,-9.743589743589748,1.6666666666666667,6.935060986015558,19.07810499359796,48.53914722080278,28.82169473718771
_pooled,120,539024,602,-21.7564870259481,-10.37344398340249,2.1767836455965206,7.7844311377245505,19.6933962264151,47.66839378238342,30.06684020981759
