stock_id,note
3037,欣興 ABF 載板
8046,南電 ABF 載板
3189,景碩 ABF 載板
4958,臻鼎-KY 高速 PCB
3017,奇鋐 散熱（液冷）
2308,台達電 電源/BBU
2327,國巨 MLCC 被動元件
2492,華新科 MLCC 被動元件
2317,鴻海 AI 伺服器組裝
2382,廣達 AI 伺服器組裝
3231,緯創 AI 伺服器組裝
2330,台積電 半導體龍頭 CoWoS 
3711,日月光投控 CoWoS
2454,聯發科 AI ASIC 設計 AI PC/AI 手機晶片
3661,世芯-KY AI ASIC 設計
3443,創意 AI ASIC 設計
5274,信驊 伺服器管理晶片
2395,研華 Edge AI / 工業電腦
3363,上詮 矽光子 FAU / 與台積電合作
3081,聯亞 InP/CW Laser 上游
6451,訊芯-KY CPO 封裝
3163,波若威 光纖套件/光模組
3131,弘塑
3583,辛耘
2344,華邦電 記憶體
2408,南亞科 記憶體
6669,緯穎 AI 伺服器（純玩家・自有品牌 ODM）
2376,技嘉 AI 伺服器/顯示卡板卡
2383,台光電 CCL 銅箔基板（AI server 核心材料）
2368,金像電 AI server 高速 PCB
3324,雙鴻 散熱/液冷（另一龍頭，補奇鋐）
3680,家登 先進封裝/CoWoS・EUV pod 設備
1519,華城 重電（AI 資料中心電力需求）
1503,士電 重電/變壓器
2049,上銀 機器人/humanoid 線性傳動
8299,群聯 NAND 記憶體控制 IC
